,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
3788,Quatro Vezes Beckett,,"Sergio Britto, Rubens Corrêa, Italo Rossi e Richard Riguett||Direção, iluminação e sonoplastia: Gerald Thomas. No Teatro dos 4, no horário alternativo das segundas e terças. Cenários e figurinos de  Daniela Thomas.",1985,,Programa Quatro Vezes Beckett
3789,Outono Inverno,,,,,Outono Inverno
3790,Em família,,,,,Programa em Revista
3791,Rei Lear||datilografado,,"Direção: Celso Nunes. No Teatro Clara Nunes. Cenografia Paulo Mamede, iluminação Aurélio de Simoni e Neném.",1983,,Texto ensaio Rei Lear
3792,Meu Querido Mentiroso||critica,,,1988,Jornal do Brasil,Júri B
3793,Meu Querido Mentiroso||critica,,,1988,Jornal do Brasil,Júri B
3794,Meu Querido Mentiroso||divulgação,Macksen Luiz,,1988,Jornal do Brasil,Em um ato
3795,Meu Querido Mentiroso||divulgação,,,1988,Jornal do Brasil,Teatro
3796,Meu Querido Mentiroso||critica,Macksen Luiz,,1988,Jornal do Brasil,Cartas Apaixonadas
3797,Meu Querido Mentiroso||reportagem,,,1988,Jornal do Brasil,40 anos de amor e amizade
3798,Meu Querido Mentiroso||reportagem,José Castello,,1988,Jornal do Brasil,A Arte de desaparecer
3799,Meu Querido Mentiroso||critica,Macksen Luiz,,1988,Jornal do Brasil,Cumplicidade de Longa Data
3800,Meu Querido Mentiroso||divulgação,Ancelmo Gois,,1988,Jornal do Brasil,Lance - livre
3801,Meu Querido Mentiroso||critica,,,1988,Jornal do Brasil,Júri B
3802,Meu Querido Mentiroso||reportagem,,,1988,Gazeta do Povo,Nathália e Sérgio estréiam no Guaíra
3803,Meu Querido Mentiroso||critica,Barbara Heliodora,,,O Globo,O triunfo do teatro de entretenimento
3804,Meu Querido Mentiroso||reportagem,Alexandre Ribondi,,1988,Correio Braziliense,Uma correspondência de 40 anos em cena
3805,Meu Querido Mentiroso||propaganda,,,,O Globo,Clube do Assinante
3806,A Gaivota,,"Teresa Rachel, Sergio Britto, Renata Sorrah, Carlos Augusto Strazzer, Cecil Thiré, Monah Delacy, Luís de Lima, Helio Ary, Renne de Vielmond e David Pinheiro||Direção: Jorge  Lavelli. Figurinos e cenografia de Cláudio Segóvia. Produção de Sergio Britto e Tereza Rachel. Iluminação : Jorginho de Carvalho . Sonoplastia : Enzo Miglietta e Plinio S. Barreto. Fotos Programa : R. Sasso . Assistentes de direção : Hector Grillo . Execução dos figurinos ; João Jorge Trintah . Contra- regra : Edgar dos Santos. Cabelos : Luis de Lima.",1974,,A Gaivota
3807,Meu Querido Mentiroso||entrevista,Marcelo Passamai,,1988,Revista Amiga,Eles comemoram 40 anos de amizade fazendo mais sucesso no teatro
3808,Opiniões Diversas||entrevista,Joana Costa | Maria Lúcia Nieto,,1985,Revista Nova,Qual a flor que mais emociona você
3809,Opiniões Diversas||entrevista,Luiz Fernando Vianna,,1993,O Globo,O retrato mais nítido da cena viva
3810,Opiniões Diversas||reportagem,José Rezende Jr.,,1993,O Globo,A Lambada da Província
3811,Opiniões Diversas||reportagem,Daniel Stycer,,1993,O Globo,A Volta do que não foi .
3812,A Morte Acidental de um Anarquista||reportagem,,,1980,Revista Veja,Sem Censura nem gente
3813,A Morte Acidental de um Anarquista||divulgação,Maria Teresa Amaral,,1980,Última Hora,O Teatro de Hoje
3814,Os Órfãos de Jânio||reportagem,Maria Teresa Amaral,,1980,Última Hora,Mambembe versão segundo quadrimestre
3815,A Morte Acidental de um Anarquista||critica,Flavio Marinho,,1980,Revista Visão,Coisa de Louco
3816,A Morte Acidental de um Anarquista||critica,Wilson Cunha,,1980,Revista Manchete,Morte Acidental de um Anarquista
3817,A Morte Acidental de um Anarquista||critica,Macksen Luiz,,1980,Revista Isto é,Morte Acidental de um Anarquista
3818,A Morte Acidental de um Anarquista||entrevista,Luiz Carlos Robaldo,,1980,Fotos | Revista Fatos,Fiel à promessa Sérgio Britto continua em ritmo de teatro
3819,A Morte Acidental de um Anarquista||divulgação,Virgílio Duarte,,1980,Fotos | Revista Fatos,A Máscara violenta do dia - a - dia
3820,A Morte Acidental de um Anarquista||divulgação,Cristina Miguez,,1980,Fotos | Revista Fatos,Guida Viana briga pelo teatro
3821,A Morte Acidental de um Anarquista||divulgação,,,1981,Revista Desfile,Destaques do Rio
3822,A Morte Acidental de um Anarquista||critica,,,1981,Revista Desfile,A Morte Acidental de um Anaquista
3823,Rei Lear,,"Sergio Britto, Abrahão Farc, José Mayer, Luis Otávio Burner, Renato Coutinho, Shimon Nahmias, Elio Penteado, Silvio Pozzato, João Ribeiro, Jitman Vibranovski, Roberto Frota, Marcos Wainberg, Lauri Prieto, Yara Amaral, Ariclê Perez, Fernanda Torres, Ney Latorraca, Jose Mayer, Paulo Goulart, Ary Fontoura e Jose de Freitas.||Direção: Celso Nunes. No Teatro Clara Nunes. Cenografia Paulo Mamede, iluminação Aurélio de Simoni e Neném.",1983,,Rei Lear
3824,Rei Lear,,"Sergio Britto, Abrahão Farc, José Mayer, Luis Otávio Burner, Renato Coutinho, Shimon Nahmias, Elio Penteado, Silvio Pozzato, João Ribeiro, Jitman Vibranovski, Roberto Frota, Marcos Wainberg, Lauri Prieto, Yara Amaral, Ariclê Perez, Fernanda Torres, Ney Latorraca, Jose Mayer, Paulo Goulart, Ary Fontoura e Jose de Freitas.||Direção: Celso Nunes. No Teatro Clara Nunes. Cenografia Paulo Mamede, iluminação Aurélio de Simoni e Neném.",1983,,Rei Lear
3825,Sergio Britto,,,,,Fotos Sergio Britto
3826,Opiniões Diversas||entrevista,,,1986,O Globo,Como intelectuais e artistas vêem a substituição
3827,Opiniões Diversas||reportagem,Luiz André Alzer,,1994,O Globo,"' Schindler ' , Hanks e Holly Hunter ."
3828,Opiniões Diversas||propaganda,,,2006,O Globo,Onde está o público
3829,Opiniões Diversas||entrevista,João Ximenes | Luiz Fernando Vianna,,1994,O Globo,Flit na polêmica dos ' cacos '
3830,Opiniões Diversas||entrevista,Regina Navarro Lins,,1998,Jornal do Brasil,A fidelidade de sentimento é o que importa
3831,Opiniões Diversas||reportagem,,,1994,Jornal do Brasil,Leituras Embaralhadas
3832,Opiniões Diversas||reportagem,,,1994,Jornal do Brasil,Reconquistar espaço antigo é sonho carioca
3833,Opiniões Diversas||reportagem,Silvio Barsetti,,1993,Jornal do Brasil,As regras do jogo nos bastidores
3834,Opiniões Diversas||reportagem,Hugo Sukman,,1994,Jornal do Brasil,As curvas da ponte cultural Rio - Sampa
3835,Sergio Britto||divulgação,,,1958,Revista do Rádio,Album do radio tv
3836,Pequenas Raposas,,"Beatriz Segall, Sergio Britto, Joana Fomm, Ednei Giovenazzi, Roberto Pirillo, Rogerior Froes, Léa Garcia, Pedro Osório, Aires Jorge e Patricia Werneck.||Direção: Naum Alves de Souza.",2004,,As pequenas raposas
3837,Pequenas Raposas,,"Beatriz Segall, Sergio Britto, Joana Fomm, Ednei Giovenazzi, Roberto Pirillo, Rogerior Froes, Léa Garcia, Pedro Osório, Aires Jorge e Patricia Werneck.||Direção: Naum Alves de Souza.",2004,,Pequenas raposas
3838,Os Filhos de Kennedy,,"Lionel Linhares, Vanda Lacerda, Otávio Augusto, Maria Helena Pader, José Wilker e Suzana Vieira.||Direção: Sérgio Britto . Orientação Vocal : Maria da Glória Buttenmuller . Iluminação : Jorge Carvalho . Trilha Sonora : José Wilker . Produção : Sérgio Britto e Fábio Sabag . Administração e Ass. de Produção : Regina Bakker . Promoção Geral : Norma Thiré e Elda Priami . Execução cenários : Wilson bandeira . Figurinos : Irene Manzoni . Ass. de Direção :Antonio Pedro Nobre  . Iluminação :  Jorge de Carvalho . Fotografia : Sérgio Bernardo .Cenários e figurinos : Colmar Diniz .",1976,,Os Filhos de Kennedy
3839,Os Efeitos dos Raios Gama,,Eva Todor ; Patricia Bueno ; Maria Helena Pader ; Maura Penna e Marina Sanchez .||Direção : Sergio Britto ; Tradução : Barbara Heliodora ; Cenários : Pernambuco de Oliveira ; Assistente de Cenografia : José Dias ; Adereços de Cena : Pedro LOuzada ; Iluminação : Jorge ; Contra -regra : Manolo .,1973,,Os Efeitos dos Raios Gama
3840,Papa Higihrte,,"Sergio Britto, Angela Leal, Tonico Pereira, Dinorah Brilhanti, Paulo Barros, Helio Guerra, Nildo Parente, Carlos Alberto Baia e Miguel Rosemberg.||Direção: Nelson Xavier. No Teatro dos 4. Cenografia Paulo Mamede e figurinos Mimina Roveda. Iluminação de Jorginho de Carvalho  e música de David Tygel. A expressão corporal e coreografia de Angel Vianna e a orientação vocal de Glorinha Beultnmuller.",1979,,Papa Highirte
3841,Cafona Sim E Daí?||divulgação,Daniel Schenker Wajnberg,,1997,Jornal do Commercio,A alma brasileira é cafona
3842,Cafona Sim E Daí?||reportagem,Marcelo Barbosa,,1997,Jornal do Commercio,Pequena genealogia da cofonice.
3843,Cafona Sim E Daí?||divulgação,,,1999,Jornal do Brasil,A volta do cafona.
3844,Papa Higihrte,,"Elenco: Sergio Britto, Angela Leal, Tonico Pereira, Dinorah Brilhanti, Paulo Barros, Helio Guerra, Nildo Parente, Carlos Alberto Baia e Miguel Rosemberg.||Direção: Nelson Xavier. No Teatro dos 4. Cenografia Paulo Mamede e figurinos Mimina Roveda. Iluminação de Jorginho de Carvalho  e música de David Tygel. A expressão corporal e coreografia de Angel Vianna e a orientação vocal de Glorinha Beultnmuller.",1979,,Papa Highirte
3845,Meu Querido Mentiroso,,Nathalia Timberg e Sergio Britto||Direção Antonio de Cabo. Figurinos José Renato . cenografia de Roberto de Carvalho. Eletricista : Antonio Souza . Cenotécnico : Julio Cesar Solalinge . Contra regra : Anibal Marotta . Secretário de produção : Sandoval Moniz . Assistente de direção : Renato Machado . Diretor de produção : Paulo Lima . Cenário : Fausto Albuquerque .,1964,,Meu Querido Mentiroso
3846,Tio Vania,,,,,Tio Vania
3847,O Jardim das Cerejeiras||divulgação,,,1989,Jornal Última Hora,Dramaturgia russa
3848,O Jardim das Cerejeiras||divulgação,,,1989,Jornal Última Hora,Aristocracia decadente
3849,O Jardim das Cerejeiras||coluna social,,,1989,Jornal Última Hora,Primeiro plano
3850,O Jardim das Cerejeiras||divulgação,,,1989,Jornal Última Hora,Vá na certa
3851,O Jardim das Cerejeiras||divulgação,,,1989,Jornal Última Hora,O Jardim das Cerejeiras
3852,O Jardim das Cerejeiras||divulgação,,,1989,Jornal Tribuna da Imprensa,O Jardim das Cerejeiras
3853,O Jardim das Cerejeiras||divulgação,,,1989,Teatrarte,O Jardim das Cerejeiras
3854,O Jardim das Cerejeiras||divulgação,,,1989,Revista Elle out,O bom velhinho
3855,O Jardim das Cerejeiras||divulgação,Vera Gertel,,1989,Revista Desfile,"O Jardim das Cerejeiras, espetáculo que se assiste com prazer"
3856,O Jardim das Cerejeiras||divulgação,,,1989,Revista Amiga,Primeiro capítulo vai ter participação de Sergio Britto
3857,O Jardim das Cerejeiras||divulgação,,,1989,Revista Amiga,Edwin Luisi entra em cena para combater o crime
3858,O Jardim das Cerejeiras||divulgação,,,1989,,Julho é mês de Tchekov
3859,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Globo,Quando a platéia dá outro show
3860,O Jardim das Cerejeiras||critica,Sheila Kaplan,,1989,Jornal O Globo,Muito além de um simples jardim
3861,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,Zona Franca
3862,O Jardim das Cerejeiras||divulgação,Claudia Guimarães,,1989,Jornal O Globo,O Jardim das Cerejeiras com muitas comemorações
3863,Família,,,,,Fotos de Sérgio Britto e de sua família
3864,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Globo,"Uma atração a mais, Lewgoy está de volta"
3865,O Jardim das Cerejeiras||divulgação,João Carlos Pedroso,,1989,Jornal O Globo,Cereja em novo sabor
3866,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,Jogo rápido
3867,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Globo,Última semana
3868,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Globo,O Jardim das Cerejeiras
3869,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,O Jardim das Cerejeiras
3870,Mephisto,,"Elenco: Cláudio Gardin, Giuseppe Oristanio, Miguel Falabella, Cristina Prochaska, Esther Jablonski, Camilo Bevilacqua, Othon Bastos, Arthus Costa Filho, Paulo Gorgulho, Thelma Reston, Aída Leiner, Luiz Maçàs, Zezé Polessa, Cássia Kiss, Mônica Torres, Rodrigo Santiago, Kiko Mascarenhas, Carlos Gregório, Sérgio Britto, Cecília Wellisch.||Direção :José Wilker . Cenografia : Paulo Mamede . Figurinos : Mimina Roveda . Direção Musical : Caíque Botkay . Trilha Sonora : José Wilker . Iluminação : Maneco Quinderé . Direção Corporal : Mara Borba . Direção de produção e administração : Cláudio Rangel . Assistente de Direção : Rafael Ponzi . Programação Visual : Fernanda Pinto. Ass. De Produção : Thereza Falcão . Divulgação : Sandra Villela . Fotos : Ivan Luna . Cenotécnico : René Magalhães. Pintura cênica : Pedro Echavarren. Violino : Queca Vieira . Adereços : Antônio Pedra . Contramestra : Antonia Machado . Alfaiate : Walter A. Pereira . Contra - regra : Gérson Porto . Operador de Luz : André Otero . Operador de Som : Waldir Pinto. Eletricistas de cena : Ricardo Formiga , Nelson Leão , Jorge , André Otero e Roberto Cebolinha .Costureiras : Helena Ayres , Noêmia Cardoso e Isaura . Camareiras : Maria Helena Lima e Maninha . Pintura dos painés: Spiros . Mensageiro : William Lemos .",1993,,Mephisto de Klaus Mann
3871,Mephisto,,"Elenco: Cláudio Gardin, Giuseppe Oristanio, Miguel Falabella, Cristina Prochaska, Esther Jablonski, Camilo Bevilacqua, Othon Bastos, Arthus Costa Filho, Paulo Gorgulho, Thelma Reston, Aída Leiner, Luiz Maçàs, Zezé Polessa, Cássia Kiss, Mônica Torres, Rodrigo Santiago, Kiko Mascarenhas, Carlos Gregório, Sérgio Britto, Cecília Wellisch.",1993,,Mephisto
3872,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,Teatro
3873,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,O Jardim das Cerejeiras
3874,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,Ribalta
3875,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Globo,Zona Franca
3876,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Fluminense,Peça de Tchekov no Teatro dos Quatro
3877,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Fluminense,Produções sofisticadas
3878,O Jardim das Cerejeiras||divulgação,Armindo Blanco,,1989,Jornal O Dia,De volta ao jardim
3879,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Dia,O Jardim das Cerejeiras
3880,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Dia,Uma lição de teatro
3881,O Jardim das Cerejeiras||coluna social,,,1989,Jornal O Dia,Christine
3882,O Jardim das Cerejeiras||divulgação,Armindo Blanco,,1989,Jornal O Dia,Grandes expectativas
3883,O Jardim das Cerejeiras||divulgação,Ana Paula Araripe,,1989,Jornal O Dia,Teatro dos Quatro Apresenta O Jardim das Cerejeiras
3884,O Jardim das Cerejeiras||divulgação,,,1989,Jornal O Dia,Teatro
3885,O Jardim das Cerejeiras||divulgação,Armindo Blanco,,1989,Jornal O Dia,O mês de Tchekov
3886,O Jardim das Cerejeiras||divulgação,,,1989,Revista da Shell,Teatro
3887,O Jardim das Cerejeiras||divulgação,,,1990,Jornal do Shopping da Gávea,Peça de Tchekov reúne grande elenco
3888,O Jardim das Cerejeiras||divulgação,,,1990,Jornal do Shopping da Gávea,Programe-se
3889,O Jardim das Cerejeiras||coluna social,Fred Ayres,,1989,Jornal do Commercio,Nacional
3890,O Jardim das Cerejeiras||critica,Ida Flores,,1989,Jornal do Commercio,Crítica Teatral
3891,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Commercio,Bom Programa
3892,O Jardim das Cerejeiras||coluna social,,,1989,Jornal da Tarde,Tchekov Torturado
3893,O Jardim das Cerejeiras||coluna social,Macksen Luiz,,1989,Jornal do Brasil,"Entreato, Os escolhidos"
3894,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,Comida
3895,O Jardim das Cerejeiras||coluna social,Regina Rito,,1989,Jornal do Brasil,Cena Aberta
3896,O Jardim das Cerejeiras||critica,Barbara Heliodora | Marcos Ribas de Faria,,1989,Jornal do Brasil,"A peça em questão, O Jardim das Cerejeiras"
3897,O Jardim das Cerejeiras||divulgação,Macksen Luiz,,1989,Jornal do Brasil,Tempo de gestos inúteis
3898,O Jardim das Cerejeiras||divulgação,Mauro Trindade,,1989,Jornal do Brasil,Outubro vermelho no Rio
3899,O Jardim das Cerejeiras||coluna social,,,1989,Jornal do Brasil,Informe JB
3900,O Jardim das Cerejeiras||coluna social,,,1989,Jornal do Brasil,coluna social
3901,O Jardim das Cerejeiras||coluna social,Gloria Alvarez,,1989,Jornal do Brasil,Lance livre
3902,O Jardim das Cerejeiras||divulgação,Márcio Cozimbra,,1989,Jornal do Brasil,Comédia da decadência
3903,O Jardim das Cerejeiras||propaganda,,,1989,Jornal do Brasil | Jornal O Globo,O Jardim das Cerejeiras
3904,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,"Personagem, um piano no saguão"
3905,O Jardim das Cerejeiras||divulgação,Macksen Luiz,,1989,Jornal do Brasil,Flores Invernais
3906,O Jardim das Cerejeiras||coluna social,Regina Rito,,1989,Jornal do Brasil,Cena aberta
3907,O Jardim das Cerejeiras||coluna social,Regina Rito,,1989,Jornal do Brasil,Cena aberta
3908,O Jardim das Cerejeiras||coluna social,Macksen Luiz,,1990,Jornal do Brasil,"Entreato, contracena"
3909,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,Os cinco melhores do ano
3910,O Jardim das Cerejeiras||coluna social,Zózimo,,1989,Jornal do Brasil,De volta
3911,O Jardim das Cerejeiras||divulgação,Sidney Garambone,,1989,Jornal do Brasil,Julho é mês de Tchekov
3912,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,Peça de Tchekov reune grande elenco.
3913,O Jardim das Cerejeiras||coluna social,,,1990,Jornal do Brasil,Fique por dentro
3914,O Jardim das Cerejeiras||divulgação,Mauro Trindade,,1989,Jornal do Brasil,As bilheterias populares
3915,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,Teatro
3916,O Jardim das Cerejeiras||divulgação,Macksen Luiz,,1989,Jornal do Brasil,"Entreato, Outro Semestre"
3917,O Jardim das Cerejeiras||divulgação,Macksen Luiz,,1989,Jornal do Brasil,"Entreato, Temporada Promissora"
3918,O Jardim das Cerejeiras||coluna social,,,1989,Jornal do Brasil,Fique por dentro
3919,O Jardim das Cerejeiras,,"Edwin Luisi, Nathália Thimberg, Sérgio Britto, Othon Bastos, José Lewgoy, Andre Valle, Clarisse Derzie, Camilo Vevilaqua, Ada Chaseliov, Emilia Rey, Virgínio Liberti, Renée de Vielmont e Nelson Dantas||. Direção, tradução e cenários: Paulo Mamede. No Teatro dos 4, patrocínio da Shell. Figurinos de Mimina Roveda e iluminação de Maneco Quinderé.",1989,,O Jardim das Cerejeiras
3920,O Jardim das Cerejeiras||critica,,,1989 e 1990,Jornal do Brasil,Juri B
3921,O Jardim das Cerejeiras||divulgação,,,1989,Jornal de São Paulo,José Lewgoy volta aos palcos em montagem de peça de Tchekov
3922,O Jardim das Cerejeiras||coluna social,Ferreira Netto,,1989,Jornal Folha da Tarde,Ferreira Netto
3923,O Jardim das Cerejeiras||critica,Marcos Ribas de Faria,,1989,O Estado de São Paulo,"Tchekov, um adeus de comovente beleza"
3924,Cafona Sim E Daí?||critica,Macksen Luiz,,1997,Jornal do Brasil,Segundo a ótica do exagero
3925,Cafona Sim E Daí?||divulgação,Roberta Oliveira,,1997,Jornal do Brasil,Ode à cafonice em 52 canções
3926,O Jardim das Cerejeiras,,"Edwin Luisi, Nathália Thimberg, Sérgio Britto, Othon Bastos, José Lewgoy, Andre Valle, Clarisse Derzie, Camilo Vevilaqua, Ada Chaseliov, Emilia Rey, Virgínio Liberti, Renée de Vielmont e Nelson Dantas.||Direção, tradução e cenários: Paulo Mamede. No Teatro dos 4, patrocínio da Shell. Figurinos de Mimina Roveda e iluminação de Maneco Quinderé.",1989,,O jardim das cerejeira
3927,Rei Lear,,"Sergio Britto, Abrahão Farc, José Mayer, Luis Otávio Burner, Renato Coutinho, Shimon Nahmias, Elio Penteado, Silvio Pozzato, João Ribeiro, Jitman Vibranovski, Roberto Frota, Marcos Wainberg, Lauri Prieto, Yara Amaral, Ariclê Perez, Fernanda Torres, Ney Latorraca, Jose Mayer, Paulo Goulart, Ary Fontoura e Jose de Freitas.||Direção: Celso Nunes. No Teatro Clara Nunes. Cenografia Paulo Mamede, iluminação Aurélio de Simoni e Neném.",1984,,Rei Lear
